Jumbo Extra Cheese 2,https://codeforces.com/problemset/problem/1740/B,800,no,yes,no
Array Recovery,https://codeforces.com/problemset/problem/1739/B,800,no,yes,no
Prefix Sum Addicts,https://codeforces.com/problemset/problem/1738/B,800,no,yes,no
Glory Addicts,https://codeforces.com/problemset/problem/1738/A,1200,no,yes,no
Ela Sorting Books,https://codeforces.com/problemset/problem/1737/A,800,no,yes,no
Make A Equal to B,https://codeforces.com/problemset/problem/1736/A,1200,no,yes,no
Tea with Tangerines,https://codeforces.com/problemset/problem/1735/B,800,no,yes,no
Working Week,https://codeforces.com/problemset/problem/1735/A,900,no,yes,no
Removing Smallest Multiples,https://codeforces.com/problemset/problem/1734/C,800,no,yes,no
Select Three Sticks,https://codeforces.com/problemset/problem/1734/A,800,no,yes,no
Consecutive Sum,https://codeforces.com/problemset/problem/1733/A,900,no,yes,no
Ugu,https://codeforces.com/problemset/problem/1732/B,800,yes,yes,no
Kill Demodogs,https://codeforces.com/problemset/problem/1731/B,1000,no,yes,no
Joey Takes Money,https://codeforces.com/problemset/problem/1731/A,1100,no,yes,no
Minimum Notation,https://codeforces.com/problemset/problem/1730/C,800,no,yes,no
Planets,https://codeforces.com/problemset/problem/1730/A,1200,no,yes,no
Friends and the Restaurant,https://codeforces.com/problemset/problem/1729/D,800,no,yes,no
Decode String,https://codeforces.com/problemset/problem/1729/B,1100,no,yes,no
Best Permutation,https://codeforces.com/problemset/problem/1728/B,800,no,yes,no
Colored Balls: Revisited,https://codeforces.com/problemset/problem/1728/A,800,no,yes,no
Mainak and Array,https://codeforces.com/problemset/problem/1726/A,1100,no,yes,no
Basketball Together,https://codeforces.com/problemset/problem/1725/B,900,no,yes,yes
Line,https://codeforces.com/problemset/problem/1722/D,800,no,yes,no
Image,https://codeforces.com/problemset/problem/1721/A,1000,no,yes,no
Corners,https://codeforces.com/problemset/problem/1720/C,800,no,yes,no
Interesting Sum,https://codeforces.com/problemset/problem/1720/B,1200,no,yes,no
2-3 Moves,https://codeforces.com/problemset/problem/1716/A,800,no,yes,no
Beautiful Array,https://codeforces.com/problemset/problem/1715/B,800,no,yes,no
Crossmarket,https://codeforces.com/problemset/problem/1715/A,1000,no,yes,no
Minimum  Varied Number,https://codeforces.com/problemset/problem/1714/C,800,no,yes,no
Remove Prefix,https://codeforces.com/problemset/problem/1714/B,800,no,yes,no
Build Permutation,https://codeforces.com/problemset/problem/1713/C,900,yes,no,no
Traveling Salesman Problem,https://codeforces.com/problemset/problem/1713/A,1000,no,yes,no
Sort Zero,https://codeforces.com/problemset/problem/1712/C,800,no,yes,no
Woeful Permutation,https://codeforces.com/problemset/problem/1712/B,1100,no,yes,no
Wonderful Permutation,https://codeforces.com/problemset/problem/1712/A,800,no,yes,no
Also Try Minecraft,https://codeforces.com/problemset/problem/1709/B,800,yes,no,no
Three Doors,https://codeforces.com/problemset/problem/1709/A,900,no,yes,no
Difference Operations,https://codeforces.com/problemset/problem/1708/A,1100,no,yes,no
Making Towers,https://codeforces.com/problemset/problem/1706/B,800,yes,yes,no
Another String Minimization Problem,https://codeforces.com/problemset/problem/1706/A,1100,no,yes,no
Mark the Dust Sweeper,https://codeforces.com/problemset/problem/1705/B,800,no,yes,no
Mark the Photographer,https://codeforces.com/problemset/problem/1705/A,900,no,yes,no
Virus,https://codeforces.com/problemset/problem/1704/C,800,no,yes,no
Luke is a Foodie,https://codeforces.com/problemset/problem/1704/B,1200,no,yes,no
Two 0-1 Sequences,https://codeforces.com/problemset/problem/1704/A,1000,no,yes,no
Not a Cheap String,https://codeforces.com/problemset/problem/1702/D,800,no,yes,no
Train and Queries,https://codeforces.com/problemset/problem/1702/C,1000,no,yes,no
Polycarp Writes a String from Memory,https://codeforces.com/problemset/problem/1702/B,1100,no,yes,no
Permutation,https://codeforces.com/problemset/problem/1701/B,800,no,yes,no
Optimal Path,https://codeforces.com/problemset/problem/1700/A,1100,no,yes,no
Rising Sand,https://codeforces.com/problemset/problem/1698/B,800,no,yes,no
Promo,https://codeforces.com/problemset/problem/1697/B,800,no,yes,no
Parkway Walk,https://codeforces.com/problemset/problem/1697/A,900,no,yes,no
NIT Destroys the Universe,https://codeforces.com/problemset/problem/1696/B,800,no,yes,no
NIT orz!,https://codeforces.com/problemset/problem/1696/A,900,no,yes,no
Circle Game,https://codeforces.com/problemset/problem/1695/B,800,no,yes,no
Paranoid String,https://codeforces.com/problemset/problem/1694/B,800,no,yes,no
Creep,https://codeforces.com/problemset/problem/1694/A,1200,no,yes,no
